epoch,train_loss,val_loss,seconds
1,3.5849679374694823,4.314469363954332,4.8
2,3.3245710849761965,4.2405433257420855,4.3
3,3.17529709815979,4.31805588139428,4.3
4,3.0796810150146485,4.301325890753004,4.2
5,3.019327149391174,4.366735021273295,4.2
6,2.973939547538757,4.277623229556614,4.4
7,2.9225783252716067,4.275695946481493,4.1
8,2.8768863773345945,4.283614224857754,4.2
9,2.8576105976104738,4.277398837937249,4.1
10,2.8343188428878783,4.265621754858229,4.1
11,2.7937786769866944,4.2669682370291815,4.1
12,2.769063196182251,4.251562423176235,4.3
13,2.7568531370162965,4.281652861171299,4.2
14,2.7315992403030394,4.353166381518046,4.2
15,2.7069145011901856,4.346882594956292,4.3
16,2.679267334938049,4.377979742156135,4.3
17,2.664437952041626,4.4139647881189985,4.4
18,2.6542123317718507,4.471526066462199,4.2
19,2.631729998588562,4.480657484796312,4.1
20,2.6275900650024413,4.464993768268162,4.1
21,2.6228459310531616,4.466206669807434,4.3
22,2.6104754209518433,4.508956432342529,4.3
23,2.6050814962387085,4.51791086461809,4.1
24,2.5989258384704588,4.528964241345723,4.2
25,2.589364194869995,4.71527902285258,4.3
26,2.569656238555908,4.667635626263088,4.2
27,2.565222682952881,4.481338328785366,4.3
28,2.5548941135406493,4.651530424753825,4.3
29,2.55211003780365,4.632832619878981,4.2
30,2.55674446105957,4.672910266452366,4.2
31,2.5573790407180788,4.638297941949633,4.3
32,2.5418265867233276,4.769208749135335,4.3
33,2.530209951400757,4.59009603659312,4.3
34,2.52846969127655,4.671136710378859,4.4
35,2.527987675666809,4.665475368499756,4.4
36,2.5294049263000487,4.614532894558376,4.3
37,2.5354646110534667,4.687877986166212,4.3
38,2.530985589027405,4.76739227771759,4.2
39,2.5207073163986204,4.710334539413452,4.3
40,2.5322806787490846,4.766989986101787,4.3
