epoch,train_loss,val_loss,seconds
1,3.572136106491089,4.273456441031562,19.6
2,3.2600714588165283,4.270983921156989,19.0
3,3.1229219102859496,4.279330611228943,19.3
4,3.07121084690094,4.236831890212165,18.3
5,3.0189293098449705,4.277212513817681,19.5
6,2.9418768978118894,4.291604042053223,18.0
7,2.915655426979065,4.281571772363451,11.3
8,2.8890933084487913,4.331707729233636,11.2
9,2.851141262054443,4.287802775700887,10.5
10,2.8078120374679565,4.275981346766154,10.6
11,2.7849062156677244,4.2801211675008135,17.9
12,2.750679860115051,4.2930258644951715,12.3
13,2.740335626602173,4.332368493080139,16.8
14,2.732802348136902,4.365073786841498,18.9
15,2.7158000755310057,4.371372938156128,17.7
16,2.6874474048614503,4.398037751515706,16.5
17,2.669408373832703,4.448380404048496,20.5
18,2.674711227416992,4.448802471160889,17.7
19,2.6551005029678345,4.520686811870998,17.3
20,2.639444794654846,4.480118234952291,19.9
21,2.6201996660232543,4.473998890982734,17.5
22,2.606166191101074,4.477067351341248,16.3
23,2.6038735342025756,4.476341101858351,19.4
24,2.6007073593139647,4.487292912271288,12.5
25,2.5927480030059815,4.464491128921509,11.8
26,2.5918328666687014,4.474624713261922,11.9
27,2.580810475349426,4.579260614183214,16.7
28,2.5635654592514037,4.440639469358656,20.7
29,2.5500251245498657,4.632898714807299,20.7
30,2.559583616256714,4.524129933781094,20.7
31,2.5551356744766234,4.670455601480272,20.8
32,2.565542106628418,4.558287541071574,20.7
33,2.5441439151763916,4.723018911149767,16.7
34,2.5392641401290894,4.5980247259140015,10.1
35,2.5398752784729,4.656773726145427,15.8
36,2.522709078788757,4.64881890349918,17.0
37,2.549418053627014,4.76921017964681,15.3
38,2.52281183719635,4.523908191257053,17.5
39,2.5248149061203002,4.623449961344401,17.3
40,2.5286341285705567,4.619269225332472,17.7
41,2.5004480934143065,4.663656989733378,16.8
42,2.4932019567489623,4.662435690561931,17.6
43,2.4972364473342896,4.646488043997023,16.9
44,2.493199796676636,4.743149240811666,17.9
45,2.4874260091781615,4.690918803215027,17.8
46,2.4811441707611084,4.705774426460266,15.7
47,2.5026735067367554,4.598674800660875,18.2
48,2.4867173051834106,4.605795992745294,17.7
49,2.475679807662964,4.712807695070903,17.7
50,2.4684332036972045,4.721914317872789,13.3
51,2.490821781158447,4.763854397667779,11.0
52,2.5099622583389283,4.693676299519009,11.2
53,2.4845918798446656,4.666064977645874,13.3
54,2.4881556701660155,4.630515588654412,9.3
55,2.4931568717956543,4.65421724319458,15.7
56,2.5180669975280763,4.6355175442165795,17.6
57,2.4722341966629027,4.653094556596544,16.5
58,2.4655755662918093,4.713536938031514,15.7
59,2.4574599933624266,4.688163717587789,18.4
60,2.4632236337661744,4.663658724890815,17.8
61,2.4637726545333862,4.739546285735236,16.7
62,2.4585204315185547,4.727435337172614,14.9
63,2.5031679344177244,4.675888379414876,10.4
64,2.4838079261779784,4.621247635947333,10.6
65,2.491302843093872,4.578777538405524,10.6
66,2.4645860767364502,4.681119243303935,14.7
67,2.45020311832428,4.677993906868829,10.2
68,2.4546906566619873,4.70456940597958,15.8
69,2.4542100048065185,4.674918479389614,17.5
70,2.455180106163025,4.772120753924052,15.9
71,2.469175925254822,4.644046770201789,15.5
72,2.45862530708313,4.768331183327569,15.1
73,2.442482581138611,4.673180235756768,18.2
74,2.450884404182434,4.725630521774292,15.9
75,2.4558636283874513,4.695804066128201,16.0
76,2.4416110277175904,4.789702428711785,10.4
77,2.4441618156433105,4.7773442135916815,10.1
78,2.4358883047103883,4.765091988775465,16.3
79,2.4318179988861086,4.798776984214783,17.8
80,2.431825866699219,4.692732612291972,17.7
81,2.4340261697769163,4.794611983829075,17.6
82,2.4327367448806765,4.7401232322057085,17.1
83,2.439813270568848,4.735821021927728,18.4
84,2.424427876472473,4.786602775255839,18.4
85,2.424150047302246,4.751698189311558,17.6
86,2.4214877700805664,4.732562568452623,17.0
87,2.432842411994934,4.777906099955241,10.4
88,2.4378093910217284,4.773647122912937,10.3
89,2.439696717262268,4.859293805228339,9.7
90,2.43152596950531,4.799684060944451,16.0
91,2.436386437416077,4.659350872039795,17.6
92,2.431570539474487,4.582917902204725,17.7
93,2.4233007717132566,4.716490440898472,17.9
94,2.4169599866867064,4.6478620237774315,17.9
95,2.429343595504761,4.656372560395135,17.5
96,2.424237389564514,4.7481679519017534,17.6
97,2.4270271253585816,4.788156072298686,17.7
98,2.4675959157943725,4.619158599111769,12.1
99,2.4549928426742555,4.7347089184655085,10.6
100,2.422792067527771,4.675431092580159,9.6
